id,word_key,book_key,dict_key,pos,usage,timestamp,lang,tag
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AcoVAAAlAAAA:101429:5,意思,365日、君をずっと想うから。 (野いちご文庫),,AcoVAAAlAAAA:101429,蓮の意思とは違うけど、でも僕は、花ちゃんにはすべてを知らせるべきだと思うから」 　まばたきをひとつして、シノくんがまっすぐにこちらを見すえた。 ,"January 03, 2024 10:38:39 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Ac4VAAAIAAAA:101551:6,こぶし,365日、君をずっと想うから。 (野いちご文庫),,Ac4VAAAIAAAA:101551,私はぎゅうっとこぶしを握りしめ、そして大きくうなずいた。 　,"January 04, 2024 08:32:05 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AdAVAAAUAAAA:101616:7,うなずく,365日、君をずっと想うから。 (野いちご文庫),,AdAVAAAUAAAA:101616,すると覚悟を決めたようにシノくんが私にうなずき返し、そして静かに真実を紡ぎ始めた。 　,"January 04, 2024 08:32:32 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AdAVAAAkAAAA:101632:5,紡ぐ,365日、君をずっと想うから。 (野いちご文庫),,AdAVAAAkAAAA:101632,すると覚悟を決めたようにシノくんが私にうなずき返し、そして静かに真実を紡ぎ始めた。 　,"January 04, 2024 08:32:52 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AdIVAAAKAAAA:101672:5,片時,365日、君をずっと想うから。 (野いちご文庫),,AdIVAAAKAAAA:101672,話を聞いている間、片時も蓮の姿が頭を離れなかった。 　,"January 04, 2024 08:35:58 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AdMVAAAVAAAA:101709:5,再生,365日、君をずっと想うから。 (野いちご文庫),,AdMVAAAVAAAA:101709,出会って間もない頃の蓮との会話が頭の中で再生される。 ,"January 04, 2024 08:43:03 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AdcVAAAMAAAA:101784:7,いちいち,365日、君をずっと想うから。 (野いちご文庫),,AdcVAAAMAAAA:101784,『なんでそんなことまで、いちいち花に話さなくちゃいけねぇんだよ』 　そして気づけば、蓮がひとりで背負っていた悲しい秘密が、私の頬を濡らしていた。 　,"January 04, 2024 08:44:24 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AdkVAAALAAAA:101854:7,もといた,365日、君をずっと想うから。 (野いちご文庫),,AdkVAAALAAAA:101854,──「蓮は……蓮は、もといた世界では亡くなっているんだ。,"January 04, 2024 08:45:09 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AdoVAAAYAAAA:101909:6,なくす,365日、君をずっと想うから。 (野いちご文庫),,AdoVAAAYAAAA:101909,蓮には亡くなる未来がある」 　──「未来から蓮が来たのは、花ちゃんの悲しみをなくすためなんだよ」 　＊＊＊ 　もしも、願いがひとつ叶うなら──。 ,"January 04, 2024 08:50:10 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Ad8VAAAHAAAA:101973:7,おふくろ,365日、君をずっと想うから。 (野いちご文庫),,Ad8VAAAHAAAA:101973,俺はひとりでおふくろの墓参りに来ていた。,"January 04, 2024 08:50:46 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Ad8VAAAMAAAA:101978:6,墓参り,365日、君をずっと想うから。 (野いちご文庫),,Ad8VAAAMAAAA:101978,俺はひとりでおふくろの墓参りに来ていた。,"January 04, 2024 08:55:54 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AeAVAAADAAAA:102014:6,供える,365日、君をずっと想うから。 (野いちご文庫),,AeAVAAADAAAA:102014,花を供え線香をあげると、俺は階段に腰をおろした。 　,"January 04, 2024 08:57:23 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AeYVAAAGAAAA:102177:4,際,365日、君をずっと想うから。 (野いちご文庫),,AeYVAAAGAAAA:102177,その時ひと際強い風が吹き、風に身を任せるように俺は目を閉じた。 　,"January 04, 2024 08:58:57 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AeYVAAAGAAAA:102177:6,際強い,365日、君をずっと想うから。 (野いちご文庫),,AeYVAAAGAAAA:102177,その時ひと際強い風が吹き、風に身を任せるように俺は目を閉じた。 　,"January 04, 2024 08:59:01 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AeYVAAAEAAAA:102175:5,ひと,365日、君をずっと想うから。 (野いちご文庫),,AeYVAAAEAAAA:102175,その時ひと際強い風が吹き、風に身を任せるように俺は目を閉じた。 　,"January 04, 2024 08:59:08 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AecVAAAZAAAA:102228:4,走,365日、君をずっと想うから。 (野いちご文庫),,AecVAAAZAAAA:102228,するとこれまでの、未来と今とが混ざりあった記憶が走馬灯のように頭の中を駆けめぐった。 ,"January 04, 2024 08:59:40 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AecVAAAZAAAA:102228:6,走馬灯,365日、君をずっと想うから。 (野いちご文庫),,AecVAAAZAAAA:102228,するとこれまでの、未来と今とが混ざりあった記憶が走馬灯のように頭の中を駆けめぐった。 ,"January 04, 2024 08:59:52 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AecVAAAkAAAA:102239:8,駆けめぐっ,365日、君をずっと想うから。 (野いちご文庫),,AecVAAAkAAAA:102239,するとこれまでの、未来と今とが混ざりあった記憶が走馬灯のように頭の中を駆けめぐった。 ,"January 04, 2024 09:01:20 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AegVAAAHAAAA:102253:5,検査,365日、君をずっと想うから。 (野いちご文庫),,AegVAAAHAAAA:102253,午前中、検査の結果を聞いてきた。,"January 04, 2024 09:01:42 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AegVAAAWAAAA:102268:5,余命,365日、君をずっと想うから。 (野いちご文庫),,AegVAAAWAAAA:102268,お前の余命は四ヶ月だそうだ。,"January 04, 2024 09:01:52 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AekVAAABAAAA:102298:7,木枯らし,365日、君をずっと想うから。 (野いちご文庫),,AekVAAABAAAA:102298,桜は……見られないかもしれないって』 　木枯らしが身も心も冷やしてしまうような、そんな寒い日だった。 　,"January 04, 2024 09:02:30 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AesVAAAMAAAA:102366:6,崩して,365日、君をずっと想うから。 (野いちご文庫),,AesVAAAMAAAA:102366,ここ最近ちょっと体調を崩していた。 　,"January 04, 2024 09:03:08 AM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Ae0VAAAhAAAA:102422:8,それなのに,365日、君をずっと想うから。 (野いちご文庫),,Ae0VAAAhAAAA:102422,それなのに突然俺だけが終わりを告げられた。 　,"January 04, 2024 08:49:22 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Ae0VAAAwAAAA:102437:6,告げる,365日、君をずっと想うから。 (野いちご文庫),,Ae0VAAAwAAAA:102437,それなのに突然俺だけが終わりを告げられた。 　,"January 04, 2024 08:49:39 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Ae4VAAABAAAA:102444:5,積む,365日、君をずっと想うから。 (野いちご文庫),,Ae4VAAABAAAA:102444,積みあげるのは大変なのに、崩れ落ちるのはいつでもあっけなくて。 　,"January 04, 2024 08:50:02 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Ae4VAAAOAAAA:102457:8,崩れ落ちる,365日、君をずっと想うから。 (野いちご文庫),,Ae4VAAAOAAAA:102457,積みあげるのは大変なのに、崩れ落ちるのはいつでもあっけなくて。 　,"January 04, 2024 08:52:04 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AfAVAAALAAAA:102519:6,可能性,365日、君をずっと想うから。 (野いちご文庫),,AfAVAAALAAAA:102519,『手術を受ければ、まだ可能性はあるらしい。,"January 04, 2024 08:53:52 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AfAVAAAYAAAA:102532:6,成功率,365日、君をずっと想うから。 (野いちご文庫),,AfAVAAAYAAAA:102532,ただ、成功率は二〇パーセント。,"January 04, 2024 08:54:20 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AfEVAAAGAAAA:102572:5,尊重,365日、君をずっと想うから。 (野いちご文庫),,AfEVAAAGAAAA:102572,俺は蓮の意思を尊重したい』 　俺の意思を尊重すると言いつつも、手術を受けてほしい、そんな願望が聞きとれた。 　,"January 04, 2024 08:57:53 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AfQVAAAEAAAA:102644:7,知り抱い,365日、君をずっと想うから。 (野いちご文庫),,AfQVAAAEAAAA:102644,『そんなの、必要ねぇよ』 　余命を知り抱いたのは、悲しみでも絶望感でもなかった。,"January 04, 2024 08:59:02 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AfQVAAApAAAA:102681:7,自暴自棄,365日、君をずっと想うから。 (野いちご文庫),,AfQVAAApAAAA:102681,もうどうでもいいやっていう、自暴自棄で投げやりな感情。 　,"January 04, 2024 08:59:27 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AfcVAAAKAAAA:102749:6,見失う,365日、君をずっと想うから。 (野いちご文庫),,AfcVAAAKAAAA:102749,俺は生きる意味を、見失った。 　,"January 04, 2024 09:03:31 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AfgVAAABAAAA:102755:6,自堕落,365日、君をずっと想うから。 (野いちご文庫),,AfgVAAABAAAA:102755,自堕落になりながら無意味に感じる日々をダラダラと過ごしていた、ある日。 　,"January 04, 2024 09:03:55 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AfoVAAABAAAA:102817:5,他校,365日、君をずっと想うから。 (野いちご文庫),,AfoVAAABAAAA:102817,他校のやつらとケンカをして、家に帰る途中で偶然通りかかった、この場所。 　,"January 04, 2024 09:08:49 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Af4VAAAKAAAA:102982:8,整えている,365日、君をずっと想うから。 (野いちご文庫),,Af4VAAAKAAAA:102982,こうして乱れた息を整えていると、体力の衰えを否が応でも感じずにはいられない。 　,"January 04, 2024 09:10:34 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Af8VAAAZAAAA:103036:5,ザマ,365日、君をずっと想うから。 (野いちご文庫),,Af8VAAAZAAAA:103036,前まではこんなケンカなんともなかったのに、なんてザマだよ。,"January 04, 2024 09:28:26 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:Af8VAAAiAAAA:103045:8,かっこわり,365日、君をずっと想うから。 (野いちご文庫),,Af8VAAAiAAAA:103045,ったく、かっこわりぃ。 　,"January 04, 2024 09:28:46 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AQAWAAAEAAAA:103056:5,醜態,365日、君をずっと想うから。 (野いちご文庫),,AQAWAAAEAAAA:103056,自分の醜態に苦笑すら漏れる。 　,"January 04, 2024 09:39:10 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:AQoWAAAEAAAA:103251:6,妨げる,365日、君をずっと想うから。 (野いちご文庫),,AQoWAAAEAAAA:103251,眠りを妨げられ、イラついた感情のまま目を開けると、そこにはおびえきった表情を浮かべた女が、スクールバックを持つ手をわななかせて立っていた。 　,"January 04, 2024 09:42:38 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:ARAWAAAVAAAA:103414:6,失せる,365日、君をずっと想うから。 (野いちご文庫),,ARAWAAAVAAAA:103414,『あんたには関係ねぇから、今すぐ俺の前から失せろ』 　そう言って追いはらおうとしたのに、俺が口を開くよりも先に女はぎゅっと唇を噛みしめると、こちらに駆けよってきた。 　,"January 04, 2024 09:45:12 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:ARIWAAAuAAAA:103520:6,絆創膏,365日、君をずっと想うから。 (野いちご文庫),,ARIWAAAuAAAA:103520,そして、スカートが汚れることもいとわないで俺の前に座りこみ、スクールバックからティッシュと絆創膏を取り出す。 ,"January 04, 2024 09:53:35 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
CR!6NJ4G01WFD58Z7WD18DXDV0AXS77:ARMWAAAPAAAA:103544:5,手当,365日、君をずっと想うから。 (野いちご文庫),,ARMWAAAPAAAA:103544,今、手当するから……っ』 『は？』 　,"January 04, 2024 09:55:38 PM",ja,"['365日、君をずっと想うから。_(野いちご文庫)', 'ja']"
